rank,name,author,link,star,fork,language,issues,description,last_commit
1,rails,rails,https://github.com/rails/rails,56308,21742,Ruby,512,Ruby on Rails,2025-01-10T20:25:17Z
2,jekyll,jekyll,https://github.com/jekyll/jekyll,49452,10013,Ruby,105,:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby,2025-01-02T16:59:05Z
3,mastodon,mastodon,https://github.com/mastodon/mastodon,47478,7044,Ruby,3819,"Your self-hosted, globally interconnected microblogging community",2025-01-11T06:56:57Z
4,huginn,huginn,https://github.com/huginn/huginn,44260,3820,Ruby,582,Create agents that monitor and act on your behalf.  Your agents are standing by!,2025-01-11T05:48:53Z
5,discourse,discourse,https://github.com/discourse/discourse,42836,8384,Ruby,0,"A platform for community discussion. Free, open, simple.",2025-01-11T05:11:12Z
6,brew,Homebrew,https://github.com/Homebrew/brew,42031,9892,Ruby,54,🍺 The missing package manager for macOS (or Linux),2025-01-11T02:19:40Z
7,fastlane,fastlane,https://github.com/fastlane/fastlane,39796,5740,Ruby,599,🚀 The easiest way to automate building and releasing your iOS and Android apps,2025-01-06T10:29:17Z
8,devdocs,freeCodeCamp,https://github.com/freeCodeCamp/devdocs,35565,2387,Ruby,174,API Documentation Browser,2025-01-09T02:11:17Z
9,maybe,maybe-finance,https://github.com/maybe-finance/maybe,34844,2500,Ruby,15,The OS for your personal finances,2025-01-11T08:04:19Z
10,metasploit-framework,rapid7,https://github.com/rapid7/metasploit-framework,34565,14096,Ruby,411,Metasploit Framework,2025-01-10T15:01:31Z
11,awesome-awesomeness,bayandin,https://github.com/bayandin/awesome-awesomeness,32256,3567,Ruby,16,A curated list of awesome awesomeness,2024-06-02T22:46:41Z
12,engineering-blogs,kilimchoi,https://github.com/kilimchoi/engineering-blogs,32072,1667,Ruby,21,A curated list of engineering blogs,2024-08-21T13:01:11Z
13,vagrant,hashicorp,https://github.com/hashicorp/vagrant,26403,4436,Ruby,687,Vagrant is a tool for building and distributing development environments.,2025-01-10T21:47:11Z
14,awesome-swift,matteocrippa,https://github.com/matteocrippa/awesome-swift,25024,3086,Ruby,1,A collaborative list of awesome Swift libraries and resources. Feel free to contribute!,2024-11-10T20:22:34Z
15,devise,heartcombo,https://github.com/heartcombo/devise,24048,5545,Ruby,139,Flexible authentication solution for Rails with Warden.,2024-11-29T13:15:22Z
16,gitlabhq,gitlabhq,https://github.com/gitlabhq/gitlabhq,23867,5749,Ruby,0,GitLab CE Mirror \,Please open new issues in our issue tracker on GitLab.com
17,ruby,ruby,https://github.com/ruby/ruby,22260,5350,Ruby,0,The Ruby Programming Language,2025-01-11T07:16:39Z
18,forem,forem,https://github.com/forem/forem,22091,4075,Ruby,614,For empowering community 🌱,2025-01-09T00:39:58Z
19,chatwoot,chatwoot,https://github.com/chatwoot/chatwoot,21905,3733,Ruby,870,"Open-source live-chat, email support, omni-channel desk. An alternative to Intercom, Zendesk, Salesforce Service Cloud etc. 🔥💬",2025-01-11T04:32:29Z
20,homebrew-cask,Homebrew,https://github.com/Homebrew/homebrew-cask,21050,10803,Ruby,12,🍻 A CLI workflow for the administration of macOS applications distributed as binaries,2025-01-11T09:57:11Z
21,setup,lewagon,https://github.com/lewagon/setup,18706,1602,Ruby,1,Setup instructions for Le Wagon's students on their first day of Web Development Bootcamp,2024-10-14T13:04:13Z
22,postal,postalserver,https://github.com/postalserver/postal,15076,1077,Ruby,43,📮 A fully featured open source mail delivery platform for incoming & outgoing e-mail,2024-12-24T02:01:27Z
23,CocoaPods,CocoaPods,https://github.com/CocoaPods/CocoaPods,14617,2645,Ruby,685,The Cocoa Dependency Manager.,2024-11-10T22:01:14Z
24,quine-relay,mame,https://github.com/mame/quine-relay,14086,558,Ruby,16,An uroboros program with 100+ programming languages,2024-12-09T17:32:15Z
25,homebrew-core,Homebrew,https://github.com/Homebrew/homebrew-core,13923,12548,Ruby,24,🍻 Default formulae for the missing package manager for macOS (or Linux),2025-01-11T09:18:36Z
26,gollum,gollum,https://github.com/gollum/gollum,13897,1565,Ruby,49,"A simple, Git-powered wiki with a local frontend and support for many kinds of markup and content.",2025-01-03T14:00:15Z
27,diaspora,diaspora,https://github.com/diaspora/diaspora,13429,2918,Ruby,409,"A privacy-aware, distributed, open source social network.",2025-01-10T23:50:10Z
28,sidekiq,sidekiq,https://github.com/sidekiq/sidekiq,13208,2428,Ruby,39,"Simple, efficient background processing for Ruby",2025-01-08T23:29:51Z
29,spree,spree,https://github.com/spree/spree,13197,4962,Ruby,218,"An open source eCommerce platform giving you full control and customizability. Modular and API-first. Multi-vendor, multi-tenant, multi-store, multi-currency, multi-language. Built using Ruby on Rails. Developed by @vendo-dev",2025-01-10T13:19:44Z
30,fluentd,fluent,https://github.com/fluent/fluentd,12997,1350,Ruby,147,Fluentd: Unified Logging Layer (project under CNCF),2025-01-10T03:30:23Z
31,tmuxinator,tmuxinator,https://github.com/tmuxinator/tmuxinator,12840,628,Ruby,105,Manage complex tmux sessions easily,2024-11-19T13:53:48Z
32,capistrano,capistrano,https://github.com/capistrano/capistrano,12742,1772,Ruby,55,"A deployment automation tool built on Ruby, Rake, and SSH.",2024-12-28T21:29:21Z
33,rubocop,rubocop,https://github.com/rubocop/rubocop,12661,3071,Ruby,341,"A Ruby static code analyzer and formatter, based on the community Ruby style guide.",2025-01-10T21:46:05Z
34,linguist,github-linguist,https://github.com/github-linguist/linguist,12465,4356,Ruby,164,"Language Savant. If your repository's language is being reported incorrectly, send us a pull request!",2025-01-10T10:01:58Z
35,sinatra,sinatra,https://github.com/sinatra/sinatra,12216,2078,Ruby,19,Classy web-development dressed in a DSL (official / canonical repo),2024-11-20T15:48:49Z
36,kamal,basecamp,https://github.com/basecamp/kamal,11888,492,Ruby,84,Deploy web apps anywhere.,2024-12-13T12:38:28Z
37,faker,faker-ruby,https://github.com/faker-ruby/faker,11301,3183,Ruby,5,"A library for generating fake data such as names, addresses, and phone numbers.",2025-01-10T23:39:17Z
38,fpm,jordansissel,https://github.com/jordansissel/fpm,11199,1070,Ruby,689,"Effing package management! Build packages for multiple platforms (deb, rpm, etc) with great ease and sanity.",2024-12-21T04:54:14Z
39,liquid,Shopify,https://github.com/Shopify/liquid,11198,1410,Ruby,309,"Liquid markup language. Safe, customer facing template language for flexible web apps.",2025-01-10T19:34:06Z
40,Learning-SICP,DeathKing,https://github.com/DeathKing/Learning-SICP,11067,1542,Ruby,1,MIT视频公开课《计算机程序的构造和解释》中文化项目及课程学习资料搜集。,2023-09-27T09:43:25Z
41,remote-working,greatghoul,https://github.com/greatghoul/remote-working,10662,857,Ruby,2,收集整理远程工作相关的资料,2025-01-06T11:05:47Z
42,capybara,teamcapybara,https://github.com/teamcapybara/capybara,10032,1455,Ruby,20,Acceptance test framework for web applications,2024-08-16T08:12:16Z
43,grape,ruby-grape,https://github.com/ruby-grape/grape,9890,1222,Ruby,219,An opinionated framework for creating REST-like APIs in Ruby.,2025-01-09T15:48:50Z
44,openproject,opf,https://github.com/opf/openproject,9691,2422,Ruby,0,OpenProject is the leading open source project management software.,2025-01-11T03:37:22Z
45,activeadmin,activeadmin,https://github.com/activeadmin/activeadmin,9528,3313,Ruby,7,The administration framework for Ruby on Rails applications.,2025-01-08T22:13:11Z
46,guides,thoughtbot,https://github.com/thoughtbot/guides,9485,1375,Ruby,0,A guide for programming in style.,2024-11-13T15:38:49Z
47,resque,resque,https://github.com/resque/resque,9440,1656,Ruby,69,"Resque is a Redis-backed Ruby library for creating background jobs, placing them on multiple queues, and processing them later.",2025-01-06T12:56:33Z
48,octopress,imathis,https://github.com/imathis/octopress,9307,2614,Ruby,175,Octopress is an obsessively designed framework for Jekyll blogging. It’s easy to configure and easy to deploy. Sweet huh?,2024-03-29T12:47:20Z
49,bourbon,thoughtbot,https://github.com/thoughtbot/bourbon,9080,874,Ruby,0,A Lightweight Sass Tool Set,2024-09-13T18:28:12Z
50,paperclip,thoughtbot,https://github.com/thoughtbot/paperclip,8999,2427,Ruby,39,Easy file attachment management for ActiveRecord,2023-07-13T17:57:58Z
51,whenever,javan,https://github.com/javan/whenever,8844,726,Ruby,70,Cron jobs in Ruby,2024-07-31T22:44:25Z
52,how-to-contribute-to-open-source,freeCodeCamp,https://github.com/freeCodeCamp/how-to-contribute-to-open-source,8844,1836,Ruby,33,A guide to contributing to open source,2024-12-02T16:31:59Z
53,carrierwave,carrierwaveuploader,https://github.com/carrierwaveuploader/carrierwave,8780,1664,Ruby,33,"Classier solution for file uploads for Rails, Sinatra and other Ruby web frameworks",2025-01-11T08:36:18Z
54,wpscan,wpscanteam,https://github.com/wpscanteam/wpscan,8704,1274,Ruby,63,WPScan WordPress security scanner. Written for security professionals and blog maintainers to test the security of their WordPress websites. Contact us via contact@wpscan.com,2024-12-16T10:22:56Z
55,kaminari,kaminari,https://github.com/kaminari/kaminari,8590,1080,Ruby,47,"⚡ A Scope & Engine based, clean, powerful, customizable and sophisticated paginator for Ruby webapps",2024-09-28T11:06:18Z
56,pundit,varvet,https://github.com/varvet/pundit,8322,633,Ruby,11,Minimal authorization through OO design and pure Ruby classes,2024-11-25T08:28:02Z
57,docuseal,docusealco,https://github.com/docusealco/docuseal,8284,560,Ruby,40,"Open source DocuSign alternative. Create, fill, and sign digital documents ✍️",2025-01-06T10:37:22Z
